ID,l_O2-3727,O2-3727,e_O2-3727,f_O2-3727,l_Ne3-3869,Ne3-3869,e_Ne3-3869,f_Ne3-3869,l_Ne3-3967,Ne3-3967,e_Ne3-3967,f_Ne3-3967,l_Hd,Hd,e_Hd,f_Hd,Hg,e_Hg,f_Hg,l_O3-4363,O3-4363,e_O3-4363,f_O3-4363,Hb,e_Hb,f_Hb,O3-4959,e_O3-4959,f_O3-4959,O3-5007,e_O3-5007,f_O3-5007,Ha,e_Ha,f_Ha,l_S2-6717,S2-6717,e_S2-6717,f_S2-6717,l_S2-6731,S2-6731,e_S2-6731,f_S2-6731,newrat
MMT25,,1.03,0.05,d,,0.48,0.04,,,0.37,0.06,,,0.28,0.04,,0.44,0.03,,,0.078,0.025,,6.09,0.09,a,2.08,0.01,a,6.21,0.01,a,2.85,0.02,a,,0.11,0.03,a,<,0.16,,a,0.466019417476
MMT26,,3.34,0.02,,,0.25,0.02,,<,0.04,,,,0.19,0.01,,0.41,0.01,,,0.047,0.01,,24.07,0.23,,0.79,0.01,,2.48,0.01,,3.29,0.01,,,0.57,0.01,,,0.38,0.01,d,0.0748502994012
MMT27,,1.27,0.12,,,0.49,0.15,,<,0.27,,,,0.49,0.1,,0.64,0.09,,,0.364,0.088,,1.65,0.14,,1.48,0.11,,4.53,0.1,,3.34,0.14,,<,0.98,,,<,0.29,,,0.385826771654
MMT28,,1.28,0.11,,,0.38,0.1,,,0.45,0.11,,<,0.21,,,0.51,0.08,,,0.157,0.049,,3.0,0.28,,1.96,0.09,,5.93,0.08,,4.21,0.2,,<,0.33,,,,,,,0.296875
MMT29,,1.69,0.01,d,,0.41,0.01,,,0.21,0.01,,,0.27,0.01,,0.44,0.01,,,0.055,0.009,,21.66,0.18,,1.65,0.01,,4.97,0.01,,3.22,,a,,0.23,0.01,"d,a",,0.14,0.01,a,0.242603550296
MMT30,,2.54,0.02,,,0.33,0.02,,,0.06,0.01,,,0.22,0.01,,0.46,0.02,,,0.04,0.013,,16.63,0.26,,1.22,0.01,,3.7,0.01,,3.05,0.05,,,0.36,0.04,,,0.15,0.04,d,0.129921259843
MMT31,,2.23,0.01,d,,0.3,0.01,,,0.12,0.01,,,0.22,0.01,,0.45,0.01,,,0.048,0.008,,32.2,0.19,,1.24,0.01,,3.76,0.01,,3.32,0.02,,,0.23,0.02,,,0.22,0.02,,0.134529147982
MMT32,,1.95,0.04,,,0.34,0.02,,,0.12,0.01,,,0.19,0.01,,0.44,0.01,,,0.034,0.008,,43.08,0.32,,1.47,0.01,,4.24,0.01,,3.47,0.01,,,0.29,0.01,,,0.22,0.01,d,0.174358974359
MMT33,,0.28,0.03,,,0.39,0.03,,,0.29,0.03,,,0.19,0.02,,0.44,0.02,,,0.181,0.023,,6.82,0.12,a,1.72,0.02,"d,a",5.17,0.01,a,2.96,0.02,a,<,0.05,,a,<,0.05,,a,1.39285714286
MMT34,,1.87,0.03,,,0.39,0.04,,,0.12,0.03,,<,0.09,,,0.4,0.03,,,0.081,0.02,,4.4,0.08,a,1.61,0.02,a,4.86,0.02,"d,a",2.22,0.02,a,,0.3,0.02,a,,0.15,0.03,a,0.208556149733
MMT35,,2.86,0.04,,,0.44,0.04,,<,0.07,,,,0.19,0.04,,0.35,0.03,,,0.132,0.037,,3.88,0.14,,1.17,0.03,,3.58,0.03,d,,,,,,,,,,,,0.153846153846
MMT37,,2.15,0.02,,,0.37,0.02,,,0.16,0.02,d,,0.2,0.01,,0.4,0.02,,,0.077,0.015,,9.73,0.33,,1.41,0.02,,4.5,0.03,,,,,,,,,,,,,0.172093023256
MMT38,,0.69,0.09,,,0.56,0.06,a,,0.27,0.06,d,,0.28,0.03,a,0.54,0.03,a,,0.391,0.121,,2.61,0.1,a,2.28,0.03,a,7.27,0.03,a,,,,,,,,,,,,0.811594202899
Keck01,,0.6,0.02,,,0.34,0.02,,,0.17,0.02,,,0.18,0.01,,0.38,0.01,,,0.096,0.009,,7.72,0.09,d,1.99,0.01,,5.9,0.01,,,,,,,,,,,,,0.566666666667
Keck02,,1.48,0.05,,,0.37,0.03,,,0.24,0.05,,,0.27,0.03,,0.47,0.02,,,0.265,0.039,,2.4,0.04,e,1.8,0.02,,5.6,0.02,d,,,,,,,,,,,,0.25
Keck03,,2.35,0.01,,,0.22,0.01,,,0.04,0.01,,,0.2,0.01,,0.37,0.01,,,0.019,0.003,d,12.21,0.08,,1.17,0.01,,3.5,0.01,,,,,,,,,,,,,0.0936170212766
Keck04,,1.82,0.02,,,0.46,0.01,,,0.29,0.02,,,0.25,0.01,,0.52,0.01,d,,0.047,0.011,d,6.19,0.1,,1.4,0.02,,4.35,0.02,"d,f",,,,,,,,,,,,0.252747252747
Keck05,,1.25,0.04,,,0.38,0.03,,,0.3,0.05,,,0.27,0.02,,0.66,0.04,d,,0.288,0.074,d,1.6,0.04,d,1.49,0.02,,4.96,0.02,d,,,,,,,,,,,,0.304
